vehicle_type,hs_code,sa_sacu_hs8,exporter_hs8,hs_code_sure_level,product_description,marks_and_numbers,origin_country,destination_country,del_country,country_sure_level,year,month,period,sailing_date,estimate_arrival_date,actual_arrival_date,flow,mode_of_transportation,lane_value_usd,cif_value_usd,quantity_unit,weight_unit,supplier_name,,supplier_address,supplier_city,supplier_phone,supplier_website,supplier_contact,indicator_true_supplier,importer_name,importer_address,importer_city,importer_phone,importer_website,importer_contact,indicator_true_buyer,notify_party_name,notify_party_address,also_notify_name,per_shipment_quantity,per_shipment_weight_kg,origin_port,destination_port,port_of_final_delivery,teu,feu,cbm,vessel_name,vessel_code,vessel_country_code,voyage,manifest_no,carrier_sasc_code,bill_type_code,bill_of_lading_no,master_bill_of_lading,container_id,container_size,container_type,container_desc_code,container_load_status,container_type_of_service,freight_forwarder_name,estimated_value_usd
Bus / coach,870230,87023081,8702301000,6,"Vehicles; public transport type (carries 10 or more persons, including driver), with both compression-ignition internal combustion piston engine (diesel or semi-diesel) and electric motor for propulsion, new or used",MARKS1383,China,South Africa,South Africa,7,2024,7,2024-07,2024-07-23,20240715,20240715,import,1,120673042.14,80767.94,kg,KG,"HuaYu Automotive Systems Co.,Ltd",,[in full dataset],Shanghai,,www.hasco-group.com,[in full dataset],Y,KMSA DISTRIBUTORS (PTY) LTD,[in full dataset],BRAMLEY,,www.kawasakisa.co.za,[in full dataset],Y,"HuaYu Automotive Systems Co.,Ltd",[in full dataset],,11408.1,11408.1,Yingkou,Durban,BRAMLEY,1,1,14.26,MADRID MAERSK,IMO5236757,SG,V212,807,COSU,MBL,MAEU251967998,CMDU130236259,BMOU6356333,40GP,REEFER,RF,FCL,CY/CY,Nippon Express,74238.08
Bus / coach,870220,87022087,,7,"Vehicles; public transport type (carries 10 or more persons, including driver), with both compression-ignition internal combustion piston engine (diesel or semi-diesel) and electric motor for propulsion, new or used",MARKS7352,India,South Africa,South Africa,6,2025,11,2025-11,2025-11-26,20251104,20251104,import,1,181286605.32,28472.54,kg,KG,TATA MOTORS PASSENGER VEHICLES LIMITED,,[in full dataset],Mumbai,,www.tatamotors.com,[in full dataset],Y,DIRO TRAILERS AND GENERAL SERVICES (PTY) LTD,[in full dataset],EERSTE RIVER,,,,Y,TATA MOTORS PASSENGER VEHICLES LIMITED,[in full dataset],,5730.6,5730.6,Chennai,Cape Town,EERSTE RIVER,1,1,7.16,EVER ACME,IMO9321863,LR,V687,720,ONEY,SWB,MSCU611620021,EGLV486587123,BMOU1056381,20GP,FLAT RACK,GP,LCL,CY/CY,CEVA Logistics,26589.75
Passenger car,870322,87032290,870322000,7,"Vehicles; with only spark-ignition internal combustion piston engine, cylinder capacity over 1000 but not over 1500cc",MARKS3919,Japan,South Africa,South Africa,9,2024,10,2024-10,2024-10-02,20241008,20241008,export,1,78553814.56,62582.04,kg,KG,SUBARU CORPORATION,,[in full dataset],SHIBUYA-KU,,www.subaru.co.jp/,[in full dataset],Y,A W E TRAILERS CC,[in full dataset],JOHANNESBURG,,,,Y,SUBARU CORPORATION,[in full dataset],,1877,1877,Tokyo,Ngqura,JOHANNESBURG,1,1,2.35,HYUNDAI LOYALTY,IMO2386353,SG,V109,545,MAEU,HBL,HLCU278834124,MAEU976493270,BMOU6777354,20GP,DRY,HC,LCL,CY/CY,DSV,58102.95
Passenger car,870340,87034027,8703403310,6,"Vehicles; with both spark-ignition internal combustion piston engine and electric motor for propulsion, incapable of being charged by plugging to external source of electric power",MARKS5983,China,South Africa,South Africa,8,2024,10,2024-10,2024-10-24,20241012,20241012,import,1,161759648.06,7569.78,kg,KG,"Faw-Volkswagen Automotive Co., Ltd.",,[in full dataset],Changchun,,www.audi.cn,[in full dataset],Y,MOBILE SPECIALISED TECHNOLOGIES SUPPORT SOLUTIONS (PTY) LTD,[in full dataset],MILNERTON,,www.guudmobility.com,[in full dataset],N,"Faw-Volkswagen Automotive Co., Ltd.",[in full dataset],,6391.6,6391.6,Yingkou,Port Elizabeth,MILNERTON,1,1,7.99,EVER GIVEN,IMO5477551,PA,V876,102,ZIMU,HBL,HLCU633520516,EGLV295033445,TCLU6931883,40GP,TANK,GP,LCL,CFS/CFS,CEVA Logistics,7142.84
Goods vehicle (truck),870432,87043290,8704323000,7,"Vehicles; with only spark-ignition internal combustion piston engine, for transport of goods, (of a g.v.w. exceeding 5 tonnes), n.e.c. in item no 8704.1",MARKS5783,China,South Africa,South Africa,7,2025,8,2025-08,2025-08-19,20250825,20250825,import,1,185088790.3,3424.36,kg,KG,"Zhejiang Zhongtai Car Sales Co., Ltd.",,[in full dataset],Jinhua,,,,Y,J. T. TRAILERS (PTY) LTD,[in full dataset],Johannesburg,,,,Y,"Zhejiang Zhongtai Car Sales Co., Ltd.",[in full dataset],,12128.1,12128.1,Yingkou,Durban,Johannesburg,1,1,15.16,MSC OSCAR,IMO6917972,SG,V849,629,CMDU,HBL,MAEU650096605,MAEU877496100,FCIU8900632,40GP,OPEN TOP,HC,FCL,CFS/CFS,Kuehne + Nagel,3087.41
Passenger car,870321,87032127,87032139,7,"Vehicles; with only spark-ignition internal combustion piston engine, cylinder capacity not over 1000cc",MARKS8021,Thailand,South Africa,South Africa,5,2024,10,2024-10,2024-10-03,20241013,20241013,import,1,37140737.82,56222.27,kg,KG,PTT OIL AND RETAIL BUSINESS PUBLIC COMPANY LIMITED,,[in full dataset],CHATUCHAK,,www.pttor.com,[in full dataset],Y,JOSEPH BODIES CC,[in full dataset],ALBERTON,,,,Y,PTT OIL AND RETAIL BUSINESS PUBLIC COMPANY LIMITED,[in full dataset],,23476.1,23476.1,Bangkok,Durban,ALBERTON,1,1,29.35,MAERSK MOLLER,IMO8346242,PA,V929,852,CMDU,MBL,MSCU906388615,ONEY104006469,BMOU4134435,20GP,TANK,RF,FCL,CFS/CFS,DB Schenker,50046.34
Bus / coach,870290,87029081,87029019,5,"Vehicles; public transport type (carries 10 or more persons, including driver), n.e.c. in heading 8702, new or used",MARKS6958,Germany,South Africa,South Africa,5,2025,8,2025-08,2025-08-08,20250804,20250804,import,1,124901025.26,39637.66,kg,KG,TRATON SE,,[in full dataset],München,,www.traton.com,[in full dataset],Y,BAM TRAILER SOLUTIONS (PTY) LTD,[in full dataset],BENONI,,,,N,TRATON SE,[in full dataset],,15987.2,15987.2,Wilhelmshaven,Ngqura,BENONI,1,1,19.98,CMA CGM JULES VERNE,IMO8638048,PA,V935,707,ONEY,HBL,COSU515045234,CMDU488971241,BMOU7704384,40GP,OPEN TOP,RF,LCL,CY/CY,DB Schenker,35767.43
Passenger car,870370,87037027,87037000,5,"Vehicles; with both compression-ignition internal combustion piston engine (diesel or semi-diesel) and electric motor for propulsion, capable of being charged by plugging to external source of electric power",MARKS1161,Germany,South Africa,South Africa,7,2025,10,2025-10,2025-10-01,20251015,20251015,export,1,125868331.42,16762.87,kg,KG,Urlaubs- und Lohnausgleichskasse der Bauwirtschaft,,[in full dataset],Wiesbaden,,www.soka-bau.de,[in full dataset],Y,LEADER TRAILER BODIES (PTY) LTD,[in full dataset],BRAKPAN,,,,Y,Urlaubs- und Lohnausgleichskasse der Bauwirtschaft,[in full dataset],,6256.8,6256.8,Wilhelmshaven,Cape Town,BRAKPAN,1,1,7.82,MAERSK MOLLER,IMO9826186,SG,V456,881,ZIMU,MBL,EGLV115670177,MAEU172984540,GESU8587349,45HC,OPEN TOP,RF,FCL,CY/CY,DHL Global Forwarding,15164.52
Motorcycle,871120,87112090,87112029,6,"Motorcycles (including mopeds) and cycles; fitted with an auxiliary motor, internal combustion piston engine, of cylinder capacity exceeding 50cc but not exceeding 250cc, with or without side-cars; side-cars",MARKS8038,India,South Africa,South Africa,8,2024,9,2024-09,2024-09-21,20240902,20240902,import,1,165843363.37,63375.29,kg,KG,MARUTI SUZUKI INDIA LIMITED,,[in full dataset],New Delhi,,www.marutisuzuki.com,[in full dataset],Y,BEB MOTORS (PTY) LTD,[in full dataset],HUMANSDORP,,www.algoanissan.co.za,[in full dataset],Y,MARUTI SUZUKI INDIA LIMITED,[in full dataset],,13301,13301,Visakhapatnam,Durban,HUMANSDORP,1,1,16.63,HMM ALGECIRAS,IMO2141557,LR,V106,243,HMMU,MBL,HLCU869274433,ONEY746994871,TGHU8763863,20GP,REEFER,RF,LCL,CY/CY,Nippon Express,58161.43
Passenger car,870380,87038031,87038010,8,Vehicles; with only electric motor for propulsion,MARKS9850,Italy,South Africa,South Africa,7,2025,5,2025-05,2025-05-15,20250504,20250504,export,1,13838238.84,6186.4,kg,KG,STABILUS GMBH,,[in full dataset],PINEROLO,,,,Y,GHH MINING VEHICLES 2000 (PTY) LTD,[in full dataset],Johannesburg,,,,Y,STABILUS GMBH,[in full dataset],,8452.9,8452.9,La Spezia,Ngqura,Johannesburg,1,1,10.57,APL MEXICO CITY,IMO8712510,PA,V787,139,HLCU,HBL,COSU589298897,CMDU801109005,GESU4939243,40HC,TANK,GP,LCL,CY/CFS,Sinotrans,5435.23
Motorcycle,871190,87119030,87119000,5,"Motorcycles (including mopeds) and cycles; n.e.c. in heading no. 8711, fitted with auxiliary motor, with or without side-cars; side-cars",MARKS2678,Germany,South Africa,South Africa,8,2025,9,2025-09,2025-09-09,20250921,20250921,export,1,222046179.26,7805.76,kg,KG,AUMOVIO SE,,[in full dataset],Frankfurt am Main,,www.aumovio.com,[in full dataset],Y,LINDEN CYCLES (PTY) LTD,[in full dataset],JOHANNESBURG,,,,Y,AUMOVIO SE,[in full dataset],,15341,15341,Bremerhaven,Port Elizabeth,JOHANNESBURG,1,1,19.18,YM WARRANTY,IMO5048636,SG,V645,157,ZIMU,SWB,MSCU238683430,YMLU159006006,TCLU7435148,40GP,OPEN TOP,HC,FCL,CFS/CFS,Expeditors,7316.52
Passenger car,870332,87033225,87033276,8,"Vehicles; with only compression-ignition internal combustion piston engine (diesel or semi-diesel), cylinder capacity over 1500 but not over 2500cc",MARKS3770,Thailand,South Africa,South Africa,7,2025,2,2025-02,2025-02-19,20250203,20250203,export,1,79524262.39,64889.32,kg,KG,PTT OIL AND RETAIL BUSINESS PUBLIC COMPANY LIMITED,,[in full dataset],CHATUCHAK,,www.pttor.com,[in full dataset],N,AMAZING TRAILERS CC,[in full dataset],AMANZIMTOTI,,,,Y,PTT OIL AND RETAIL BUSINESS PUBLIC COMPANY LIMITED,[in full dataset],,20949.5,20949.5,Laem Chabang,Ngqura,AMANZIMTOTI,1,1,26.19,MSC GULSUN,IMO5868633,MH,V888,85,EGLV,MBL,YMLU589842881,COSU366603087,TCLU1431652,40HC,TANK,HC,LCL,CY/CY,Nippon Express,57244.55
Bus / coach,870230,87023081,87023010,9,"Vehicles; public transport type (carries 10 or more persons, including driver), with both compression-ignition internal combustion piston engine (diesel or semi-diesel) and electric motor for propulsion, new or used",MARKS4773,Germany,South Africa,South Africa,8,2024,6,2024-06,2024-06-07,20240618,20240618,export,1,167835062.46,9059.88,kg,KG,"VOLKSWAGEN GROUP Original Teile Logistik, Vertrieb & Services GmbH",,[in full dataset],Baunatal,,www.volkswagen-otlg.de,[in full dataset],N,TEE TRAILERS (PTY) LTD,[in full dataset],Johannesburg,,,,N,"VOLKSWAGEN GROUP Original Teile Logistik, Vertrieb & Services GmbH",[in full dataset],,17247.5,17247.5,Bremerhaven,Durban,Johannesburg,1,1,21.56,EVER GIVEN,IMO4256522,LR,V869,576,COSU,MBL,COSU709376241,ONEY679194850,FCIU5995253,40HC,REEFER,RF,LCL,CY/CY,CEVA Logistics,8547.9
Bus / coach,870220,87022087,87022071,9,"Vehicles; public transport type (carries 10 or more persons, including driver), with both compression-ignition internal combustion piston engine (diesel or semi-diesel) and electric motor for propulsion, new or used",MARKS9478,Thailand,South Africa,South Africa,5,2024,5,2024-05,2024-05-11,20240523,20240523,export,1,90090987.89,2474.17,kg,KG,ISUZU SIAM CITY COMPANY LIMITED,,[in full dataset],CHATUCHAK,,www.isuzusiamcity.com,[in full dataset],Y,BONGS TRAILERS (PTY) LTD,[in full dataset],EASTERN CAPE,,,,N,ISUZU SIAM CITY COMPANY LIMITED,[in full dataset],,11763,11763,Laem Chabang,Port Elizabeth,EASTERN CAPE,1,1,14.7,CSCL GLOBE,IMO4396593,MH,V365,589,HLCU,HBL,YMLU566463387,ONEY719434098,GESU3768608,45HC,REEFER,GP,LCL,CY/CY,Bollore Logistics,2155
Goods vehicle (truck),870452,87045290,87045210,9,"Vehicles; with both spark-ignition internal combustion piston engine and electric motors for propulsion, of a g.v.w. exceeding 5,000kg",MARKS6109,Germany,South Africa,South Africa,8,2024,1,2024-01,2024-01-17,20240117,20240117,export,1,217705228.33,8542.87,kg,KG,TRATON SE,,[in full dataset],München,,www.traton.com,[in full dataset],Y,2010 TRAILERS CC,[in full dataset],LENASIA,,,,Y,TRATON SE,[in full dataset],,11785.9,11785.9,Bremerhaven,Cape Town,LENASIA,1,1,14.73,YM WARRANTY,IMO4001811,SG,V701,59,OOLU,HBL,YMLU324759066,MAEU753696601,TCLU8707216,40GP,REEFER,HC,LCL,CY/CFS,Kuehne + Nagel,7719.56
Motorcycle,871160,,87116090,5,"Motorcycles (including mopeds) and cycles; fitted with auxiliary motor, with electric motor for propulsion, with or without side-cars; side-cars",MARKS4341,Germany,South Africa,South Africa,5,2025,5,2025-05,2025-05-24,20250512,20250512,import,1,75001273.6,37552.79,kg,KG,AUMOVIO SE,,[in full dataset],Frankfurt am Main,,www.aumovio.com,[in full dataset],Y,STRIKER TRAILERS (PTY) LTD,[in full dataset],BOKSBURG,,,,Y,AUMOVIO SE,[in full dataset],,816.4,816.4,Hamburg,Ngqura,BOKSBURG,1,1,1.02,MAERSK MOLLER,IMO4232483,PA,V987,154,ONEY,SWB,EGLV146520411,MAEU207000300,TGHU8011009,20GP,OPEN TOP,GP,FCL,CY/CFS,Nippon Express,32807.46
Bus / coach,870290,87029090,87029019,5,"Vehicles; public transport type (carries 10 or more persons, including driver), n.e.c. in heading 8702, new or used",MARKS7553,Germany,South Africa,South Africa,8,2025,6,2025-06,2025-06-08,20250617,20250617,export,1,204041644.64,98994.24,kg,KG,TRATON SE,,[in full dataset],München,,www.traton.com,[in full dataset],Y,SIYABULELA ELVIS MVANDABA TRAILERS BUILDING CC,[in full dataset],EERSTE RIVER,,,,Y,TRATON SE,[in full dataset],,2008,2008,Bremerhaven,Ngqura,EERSTE RIVER,1,1,2.51,CSCL GLOBE,IMO3931223,LR,V623,959,EGLV,SWB,EGLV220785740,CMDU226217366,TCLU9710760,40GP,REEFER,RF,FCL,CY/CFS,DB Schenker,89068.2
Bus / coach,870290,87029090,8702902090,9,"Vehicles; public transport type (carries 10 or more persons, including driver), n.e.c. in heading 8702, new or used",MARKS5947,China,South Africa,South Africa,7,2024,11,2024-11,2024-11-03,20241120,20241120,export,1,197148390,100864.92,kg,KG,"Ningbo Jifeng Auto Parts Co., Ltd.",,[in full dataset],Ningbo,,www.nb-jf.com,[in full dataset],Y,ICECOLD BODIES MARKETING CC,[in full dataset],BOKSBURG,,www.icecoldgrp.co.za,[in full dataset],Y,"Ningbo Jifeng Auto Parts Co., Ltd.",[in full dataset],,18569.5,18569.5,Tianjin,Durban,BOKSBURG,1,1,23.21,YM WARRANTY,IMO5689280,SG,V224,325,EGLV,MBL,HLCU501579479,YMLU886650073,BMOU3031924,45HC,FLAT RACK,RF,LCL,CFS/CFS,Sinotrans,87841.79
Motorcycle,871150,,87115000,5,"Motorcycles (including mopeds) and cycles; fitted with auxiliary motor, with internal combustion piston engine of a cylinder capacity exceeding 800cc, with or without side-cars; side-cars",MARKS7917,Germany,South Africa,South Africa,6,2024,7,2024-07,2024-07-11,20240718,20240718,export,1,195764819.85,124651.74,kg,KG,Adient Germany Ltd. & Co. KG,,[in full dataset],Burscheid,,www.adient.com,[in full dataset],Y,VA VROOM VEHICLE REPLACEMENTS (PTY) LTD,[in full dataset],CENTURION,,,,N,Adient Germany Ltd. & Co. KG,[in full dataset],,14612.7,14612.7,Wilhelmshaven,Ngqura,CENTURION,1,1,18.27,MOL TRIUMPH,IMO2423419,MH,V427,54,COSU,SWB,MSCU717190486,YMLU748576242,MSCU9335092,45HC,FLAT RACK,GP,LCL,CFS/CFS,Nippon Express,115744.45
Passenger car,870350,87035090,87035000,9,"Vehicles; with both compression-ignition internal combustion piston engine (diesel or semi-diesel) and electric motor for propulsion, incapable of being charged by plugging to external source of electric power",MARKS1272,Germany,South Africa,South Africa,8,2024,9,2024-09,2024-09-01,20240911,20240911,export,1,204152907.56,101545.34,kg,KG,Rheinmetall Automotive AG,,[in full dataset],Neckarsulm,,www.rheinmetall.com,[in full dataset],Y,MINE SAFETY VEHICLES (PTY) LTD,[in full dataset],ALBERTON,,www.minesafetyvehicles.co.za,[in full dataset],Y,Rheinmetall Automotive AG,[in full dataset],,7988.6,7988.6,Bremerhaven,Durban,ALBERTON,1,1,9.99,CSCL GLOBE,IMO3832079,LR,V305,734,HMMU,HBL,YMLU196066041,YMLU160559452,GESU7726014,40HC,DRY,HC,FCL,CY/CY,Nippon Express,91470.19
Goods vehicle (truck),870460,87046005,8704600000,9,Vehicles; with only electric motor for propulsion,MARKS4753,China,South Africa,South Africa,9,2024,2,2024-02,2024-02-18,20240213,20240213,import,1,104582441.49,24317.26,kg,KG,"Loong Run (HeYuan) Toy Co., Ltd.",,[in full dataset],Heyuan,,,,Y,TOP TRAILERS (PTY) LTD,[in full dataset],JOHANNESBURG,,www.toptrailers.co.za,[in full dataset],Y,"Loong Run (HeYuan) Toy Co., Ltd.",[in full dataset],,2290.6,2290.6,Guangzhou,Cape Town,JOHANNESBURG,1,1,2.86,APL MEXICO CITY,IMO1055509,MH,V391,278,ZIMU,MBL,MSCU232714209,ONEY208854705,CAIU1032234,20GP,TANK,RF,FCL,CY/CY,DSV,21968.75
Goods vehicle (truck),870443,87044320,8704430000,7,"Vehicles; with both compression-ignition internal combustion piston engine (diesel/semi-diesel) and electric motors for propulsion, of a g.v.w. exceeding 20,000kg",MARKS6120,China,South Africa,South Africa,6,2024,5,2024-05,2024-05-05,20240516,20240516,import,1,107233896.88,187641.12,kg,KG,"Anhui Jianghuai Automobile Group Corp., Ltd.",,[in full dataset],Hefei,,www.jac.com.cn,[in full dataset],Y,HENRED FRUEHAUF (PTY) LTD,[in full dataset],BLOEMFONTEIN,,www.yep.co.za,[in full dataset],Y,"Anhui Jianghuai Automobile Group Corp., Ltd.",[in full dataset],,10201.3,10201.3,Ningbo-Zhoushan,Ngqura,BLOEMFONTEIN,1,1,12.75,APL MEXICO CITY,IMO6642479,MH,V182,255,OOLU,SWB,YMLU325586338,YMLU109075027,FCIU9410563,45HC,REEFER,HC,FCL,CY/CY,Nippon Express,168291.11
Bus / coach,870220,87022087,87022039,5,"Vehicles; public transport type (carries 10 or more persons, including driver), with both compression-ignition internal combustion piston engine (diesel or semi-diesel) and electric motor for propulsion, new or used",MARKS9709,Thailand,South Africa,South Africa,5,2025,1,2025-01,2025-01-16,20250124,20250124,export,1,67164217.81,57896.03,kg,KG,BANGCHAK CORPORATION PUBLIC COMPANY LIMITED,,[in full dataset],PHRA KHANONG,,www.bangchak.co.th,[in full dataset],Y,WE BUY CARS (PTY) LTD,[in full dataset],CENTURION,,www.webuycars.co.za,[in full dataset],Y,BANGCHAK CORPORATION PUBLIC COMPANY LIMITED,[in full dataset],,7340.1,7340.1,Laem Chabang,Port Elizabeth,CENTURION,1,1,9.18,OOCL HONG KONG,IMO3991341,LR,V258,812,HLCU,MBL,HLCU946053791,EGLV103561940,GESU2889624,40GP,DRY,GP,LCL,CFS/CFS,Kuehne + Nagel,54690.06
Goods vehicle (truck),870460,87046005,87046000,7,Vehicles; with only electric motor for propulsion,MARKS3724,Slovakia,South Africa,South Africa,5,2024,8,2024-08,2024-08-21,20240809,20240809,import,1,17165741.01,55479.71,kg,KG,Faurecia Automotive Slovakia s.r.o.,,[in full dataset],Bratislava,,,,Y,ROYAL TRUCK BODIES S A (PTY) LTD,[in full dataset],RANDBURG,,www.royaltruck.co.za,[in full dataset],Y,Faurecia Automotive Slovakia s.r.o.,[in full dataset],,7260.5,7260.5,Main Container Port,Durban,RANDBURG,1,1,9.08,MSC GULSUN,IMO6238065,SG,V226,68,YMLU,SWB,MSCU801105527,YMLU907364583,TCLU6136135,20GP,TANK,RF,FCL,CFS/CFS,CEVA Logistics,49666.08
Passenger car,870331,87033127,87033110,5,"Vehicles; with only compression-ignition internal combustion piston engine (diesel or semi-diesel), cylinder capacity not over 1500cc",MARKS7250,Spain,South Africa,South Africa,6,2025,6,2025-06,2025-06-02,20250610,20250610,import,1,52702145.03,15749.63,kg,KG,AUTOHERO PLUS SPAIN SL.,,[in full dataset],MADRID,,www.autohero.com,[in full dataset],Y,HENRED FRUEHAUF (PTY) LTD,[in full dataset],BLOEMFONTEIN,,www.yep.co.za,[in full dataset],Y,AUTOHERO PLUS SPAIN SL.,[in full dataset],,16391.5,16391.5,Algeciras,Durban,BLOEMFONTEIN,1,1,20.49,COSCO UNIVERSE,IMO3388198,PA,V344,303,CMDU,SWB,CMDU318037733,CMDU559647347,TGHU9669943,20GP,TANK,HC,FCL,CFS/CFS,DHL Global Forwarding,14185.97
Goods vehicle (truck),870443,87044310,87044310,9,"Vehicles; with both compression-ignition internal combustion piston engine (diesel/semi-diesel) and electric motors for propulsion, of a g.v.w. exceeding 20,000kg",MARKS9156,Spain,South Africa,South Africa,8,2025,7,2025-07,2025-07-24,20250711,20250711,export,1,34265115.05,74582.82,kg,KG,PLACAS DE PIEZAS Y COMPONENTES DE RECAMBIO SA.,,[in full dataset],MADRID,,ppcr.psaretail.es,[in full dataset],Y,KMSA DISTRIBUTORS (PTY) LTD,[in full dataset],BRAMLEY,,www.kawasakisa.co.za,[in full dataset],N,PLACAS DE PIEZAS Y COMPONENTES DE RECAMBIO SA.,[in full dataset],,7254,7254,Algeciras,Ngqura,BRAMLEY,1,1,9.07,MSC GULSUN,IMO4631426,PA,V317,898,ZIMU,MBL,MAEU582834760,HLCU402760447,TGHU5325024,45HC,REEFER,GP,FCL,CY/CY,CEVA Logistics,68559.43
Passenger car,870370,87037027,87037000,9,"Vehicles; with both compression-ignition internal combustion piston engine (diesel or semi-diesel) and electric motor for propulsion, capable of being charged by plugging to external source of electric power",MARKS2956,Germany,South Africa,South Africa,9,2025,5,2025-05,2025-05-01,20250505,20250505,export,1,212242282.66,2497.76,kg,KG,WINKELMANN GROUP GMBH & CO. KG,,[in full dataset],Ahlen,,www.winkelmann-group.com,[in full dataset],Y,LS GROUP MOTOR DIVISION (PTY) LTD,[in full dataset],WELKOM,,www.kiamotors.co.za,[in full dataset],N,WINKELMANN GROUP GMBH & CO. KG,[in full dataset],,7282.6,7282.6,Wilhelmshaven,Ngqura,WELKOM,1,1,9.1,YM WARRANTY,IMO2887762,MH,V207,518,MSCU,MBL,YMLU351842499,YMLU772091309,CAIU4231497,20GP,OPEN TOP,GP,FCL,CFS/CFS,Bollore Logistics,2255.1
Passenger car,870332,87033227,87033220,6,"Vehicles; with only compression-ignition internal combustion piston engine (diesel or semi-diesel), cylinder capacity over 1500 but not over 2500cc",MARKS5122,India,South Africa,South Africa,5,2025,3,2025-03,2025-03-21,20250315,20250315,import,1,153838500.83,285.76,kg,KG,TATA MOTORS PASSENGER VEHICLES LIMITED,,[in full dataset],Mumbai,,www.tatamotors.com,[in full dataset],Y,BP AND NS SOLUTIONS AND DEALERS (PTY) LTD,[in full dataset],GAUTENG,,,,Y,TATA MOTORS PASSENGER VEHICLES LIMITED,[in full dataset],,2022.5,2022.5,Kolkata,Port Elizabeth,GAUTENG,1,1,2.53,CMA CGM JULES VERNE,IMO1229856,LR,V735,440,OOLU,MBL,COSU922856536,YMLU821291552,TGHU2012482,45HC,DRY,RF,LCL,CFS/CFS,Kuehne + Nagel,269.66
Goods vehicle (truck),870432,87043210,87043230,6,"Vehicles; with only spark-ignition internal combustion piston engine, for transport of goods, (of a g.v.w. exceeding 5 tonnes), n.e.c. in item no 8704.1",MARKS4456,Brazil,South Africa,South Africa,5,2024,4,2024-04,2024-04-10,20240417,20240417,export,1,33407786,12409.34,kg,KG,DM ADMINISTRACAO E PARTICIPACOES SA,,[in full dataset],CERQUILHO,,,,Y,S A TRUCK BODIES (PTY) LTD,[in full dataset],BLOEMFONTEIN,,www.satruckbodies.co.za,[in full dataset],Y,DM ADMINISTRACAO E PARTICIPACOES SA,[in full dataset],,14714.2,14714.2,Itajai,Port Elizabeth,BLOEMFONTEIN,1,1,18.39,HYUNDAI LOYALTY,IMO6000285,LR,V378,773,ZIMU,MBL,EGLV983335640,EGLV332993907,MSCU8420774,20GP,OPEN TOP,GP,FCL,CY/CFS,DHL Global Forwarding,11265.37
Bus / coach,870220,87022010,8702203100,8,"Vehicles; public transport type (carries 10 or more persons, including driver), with both compression-ignition internal combustion piston engine (diesel or semi-diesel) and electric motor for propulsion, new or used",MARKS7597,United States,South Africa,South Africa,5,2024,1,2024-01,2024-01-16,20240127,20240127,export,1,80393662,228890.39,kg,KG,The Progressive Corporation,,[in full dataset],Mayfield Village,,www.progressive.com,[in full dataset],Y,A3 TRAILERS CC,[in full dataset],KROONSTAD,,,,Y,The Progressive Corporation,[in full dataset],,23292.5,23292.5,"Long Beach, CA",Port Elizabeth,KROONSTAD,1,1,29.12,OOCL HONG KONG,IMO2509579,MH,V268,170,MAEU,HBL,MAEU611249878,YMLU230638521,CAIU2910342,40GP,REEFER,RF,FCL,CY/CY,Sinotrans,201337.87
Motorcycle,871120,87112090,8711204000,6,"Motorcycles (including mopeds) and cycles; fitted with an auxiliary motor, internal combustion piston engine, of cylinder capacity exceeding 50cc but not exceeding 250cc, with or without side-cars; side-cars",MARKS9878,China,South Africa,South Africa,9,2025,1,2025-01,2025-01-13,20250116,20250116,import,1,153370049.76,47772.97,kg,KG,"Chery Automobile Co., Ltd.",,[in full dataset],Wuhu,,www.chery.cn,[in full dataset],Y,PERFORMANCE TRAILERS CC,[in full dataset],JOHANNESBURG,,www.matrixglobalsa.com,[in full dataset],Y,"Chery Automobile Co., Ltd.",[in full dataset],,17321.8,17321.8,Qingdao,Cape Town,JOHANNESBURG,1,1,21.65,ONE APUS,IMO4968063,SG,V866,102,HLCU,HBL,CMDU382956213,EGLV452286231,MSCU9634626,45HC,FLAT RACK,HC,FCL,CY/CY,CEVA Logistics,44904.92
Bus / coach,870220,87022090,87022010,7,"Vehicles; public transport type (carries 10 or more persons, including driver), with both compression-ignition internal combustion piston engine (diesel or semi-diesel) and electric motor for propulsion, new or used",MARKS1182,Spain,South Africa,South Africa,6,2025,8,2025-08,2025-08-03,20250808,20250808,import,1,26688369.38,5375.57,kg,KG,CLASSIC CARS DEL SUR SOCIEDAD LIMITADA.,,[in full dataset],ALCALA DE GUADAIRA,,www.grupoconcesur.es,[in full dataset],Y,BLACKSELVIN VEHICLE COSMETIC ENHANCEMENT TECHNICIAN (PTY) LTD,[in full dataset],CHATSWORTH,,,,Y,CLASSIC CARS DEL SUR SOCIEDAD LIMITADA.,[in full dataset],,14341.9,14341.9,Barcelona,Durban,CHATSWORTH,1,1,17.93,CMA CGM JULES VERNE,IMO1650455,MH,V567,492,APLU,MBL,CMDU463392007,COSU797545332,TGHU8381416,45HC,FLAT RACK,HC,LCL,CFS/CFS,Nippon Express,4935.83
